job_id,job_title,domain,role_category,experience_level,skills_required,job_description,location,salary_range
1,Senior Backend Engineer,Software,Backend,Mid,"Java,Spring Boot,PostgreSQL,Redis,Kafka",Design and implement scalable microservices architecture for e-commerce platform. Optimize database queries and ensure high availability. Collaborate with cross-functional teams to deliver robust backend solutions.,Bangalore,12-18 LPA
2,Frontend Developer,Software,Frontend,Entry,"React,JavaScript,HTML,CSS,Redux",Build responsive and intuitive user interfaces for web applications. Implement pixel-perfect designs and ensure cross-browser compatibility. Work closely with UX designers to enhance user experience.,Hyderabad,6-12 LPA
3,Embedded Systems Engineer,Hardware,Embedded Systems,Entry,"C,ARM Cortex,RTOS,I2C,SPI",Develop firmware for IoT devices and embedded controllers. Interface with various sensors and actuators. Debug and optimize low-level system performance for resource-constrained environments.,Bangalore,4-6 LPA
4,DevOps Engineer,Software,DevOps,Entry,"AWS,Docker,Kubernetes,Jenkins,Terraform",Automate deployment pipelines and maintain cloud infrastructure. Monitor system performance and implement CI/CD best practices. Ensure security compliance and disaster recovery procedures.,Pune,4-6 LPA
5,PCB Design Engineer,Hardware,PCB Design,Entry,"Altium Designer,Eagle,OrCAD,Signal Integrity,EMI/EMC",Design multi-layer PCBs for consumer electronics products. Perform schematic capture and layout optimization. Conduct design reviews and collaborate with manufacturing teams.,Chennai,4-6 LPA
6,Full Stack Developer,Software,Full Stack,Senior,"Node.js,React,MongoDB,Express,JavaScript",Develop end-to-end web applications with modern technology stack. Implement RESTful APIs and integrate third-party services. Maintain code quality through testing and code reviews.,Noida,8-14 LPA
7,Data Engineer,Software,Data Engineer,Entry,"Python,Spark,Hadoop,SQL,Airflow",Build and maintain data pipelines for analytics platform. Process large-scale datasets and optimize ETL workflows. Ensure data quality and implement data governance policies.,Bangalore,4-6 LPA
8,VLSI Design Engineer,Hardware,VLSI,Mid,"Verilog,SystemVerilog,Cadence,Synthesis,Timing Analysis",Design and verify digital circuits for ASIC development. Perform RTL coding and functional verification. Collaborate with physical design team for timing closure.,Hyderabad,9-15 LPA
9,Backend Engineer - Python,Software,Backend,Senior,"Python,Django,MySQL,Celery,Docker",Develop backend services for fintech applications. Implement secure payment processing workflows. Optimize database performance and handle high-traffic scenarios.,Bangalore,10-16 LPA
10,Electrical Systems Engineer,Hardware,Electrical Systems,Entry,"MATLAB,Simulink,Power Electronics,Control Systems,AutoCAD",Design electrical systems for industrial automation projects. Perform load calculations and circuit analysis. Create technical documentation and support field installations.,Pune,4-6 LPA
11,React Native Developer,Software,Frontend,Mid,"React Native,JavaScript,Redux,Firebase,REST API",Build cross-platform mobile applications for Android and iOS. Implement native modules and optimize app performance. Integrate push notifications and analytics.,Chennai,7-12 LPA
12,Firmware Engineer,Hardware,Firmware Engineer,Entry,"C,C++,Embedded Linux,Bootloaders,Device Drivers",Develop firmware for automotive embedded systems. Write device drivers for custom hardware peripherals. Debug and troubleshoot hardware-software integration issues.,Bangalore,6-12 LPA
13,Cloud Backend Developer,Software,Backend,Mid,"Python,FastAPI,AWS Lambda,DynamoDB,S3",Build serverless applications on AWS cloud platform. Design event-driven architectures and API gateways. Implement security best practices and cost optimization.,Hyderabad,11-17 LPA
14,UI/UX Developer,Software,Frontend,Entry,"Angular,TypeScript,SCSS,Bootstrap,Figma",Translate design mockups into interactive web interfaces. Ensure responsive design and accessibility standards. Collaborate with designers to refine user workflows.,Noida,6-12 LPA
15,Embedded Firmware Developer,Hardware,Embedded Systems,Senior,"C,FreeRTOS,STM32,CAN,UART",Develop real-time firmware for medical devices. Implement communication protocols and safety features. Conduct unit testing and integration testing.,Chennai,8-14 LPA
16,Senior DevOps Engineer,Software,DevOps,Entry,"Azure,Kubernetes,Ansible,Python,GitLab CI",Architect cloud infrastructure for enterprise applications. Implement infrastructure as code and monitoring solutions. Lead DevOps transformation initiatives.,Bangalore,4-6 LPA
17,Analog Circuit Designer,Hardware,PCB Design,Senior,"SPICE,Cadence,Analog Layout,LDO,ADC",Design analog and mixed-signal circuits for sensing applications. Perform circuit simulations and prototype testing. Optimize power consumption and noise performance.,Hyderabad,10-16 LPA
18,Java Full Stack Developer,Software,Full Stack,Mid,"Java,Spring,Angular,MySQL,REST",Develop enterprise web applications with Java ecosystem. Implement microservices and front-end components. Participate in agile development and sprint planning.,Pune,9-15 LPA
19,Big Data Engineer,Software,Data Engineer,Mid,"Scala,Spark,Kafka,HDFS,Hive",Design distributed data processing systems for analytics. Optimize Spark jobs for performance and scalability. Implement real-time streaming pipelines.,Bangalore,12-18 LPA
20,FPGA Design Engineer,Hardware,VLSI,Senior,"VHDL,Xilinx,Vivado,Timing Constraints,FPGA",Develop FPGA-based solutions for signal processing. Implement high-speed digital designs and IP cores. Perform simulation and hardware validation.,Chennai,10-16 LPA
21,Frontend Engineer - Vue.js,Software,Frontend,Senior,"Vue.js,JavaScript,Vuex,Webpack,CSS3",Create modern single-page applications using Vue framework. Implement state management and routing solutions. Optimize frontend performance and bundle sizes.,Hyderabad,7-13 LPA
22,IoT Hardware Engineer,Hardware,Embedded Systems,Senior,"Arduino,ESP32,LoRa,MQTT,Sensors",Design hardware for IoT smart home devices. Select components and create prototypes. Test wireless connectivity and power optimization.,Bangalore,7-12 LPA
23,Backend Developer - Node.js,Software,Backend,Senior,"Node.js,Express,PostgreSQL,Redis,GraphQL",Build scalable APIs for mobile and web applications. Implement caching strategies and rate limiting. Write comprehensive unit and integration tests.,Noida,8-14 LPA
24,Power Electronics Engineer,Hardware,Electrical Systems,Senior,"SolidWorks,LTSpice,Buck Converter,Inverter,EMI",Design switch-mode power supplies and converters. Perform thermal analysis and PCB layout review. Test and validate power supply performance.,Pune,9-15 LPA
25,Machine Learning Engineer,Software,Data Engineer,Senior,"Python,TensorFlow,Scikit-learn,Pandas,NumPy",Develop ML models for predictive analytics applications. Implement feature engineering and model optimization. Deploy models to production environments.,Bangalore,13-19 LPA
26,Digital Design Verification Engineer,Hardware,VLSI,Mid,"SystemVerilog,UVM,Perl,Python,Assertions",Verify complex digital designs using UVM methodology. Develop testbenches and coverage models. Debug RTL and ensure functional correctness.,Hyderabad,9-15 LPA
27,Senior Full Stack Engineer,Software,Full Stack,Senior,"Python,React,PostgreSQL,AWS,Docker",Lead development of SaaS platform architecture. Mentor junior developers and conduct code reviews. Implement scalable solutions for growing user base.,Bangalore,13-19 LPA
28,Embedded Linux Developer,Hardware,Firmware Engineer,Entry,"Linux Kernel,Yocto,U-Boot,Device Tree,Bash",Port and customize embedded Linux distributions. Develop kernel modules and device drivers. Optimize boot time and system performance.,Chennai,4-6 LPA
29,Site Reliability Engineer,Software,DevOps,Entry,"Python,Kubernetes,Prometheus,Grafana,Linux",Ensure reliability and uptime of production systems. Implement monitoring and alerting frameworks. Conduct post-mortem analysis and capacity planning.,Pune,4-6 LPA
30,RF Hardware Engineer,Hardware,Embedded Systems,Mid,"RF Design,Antenna Design,ADS,Network Analyzer,PCB",Design radio frequency circuits for communication devices. Perform impedance matching and antenna tuning. Test RF performance and EMC compliance.,Bangalore,10-16 LPA
31,React Developer,Software,Frontend,Senior,"React,JavaScript,Material-UI,REST API,Git",Build modern web applications with React ecosystem. Implement responsive layouts and component libraries. Integrate APIs and handle state management.,Hyderabad,6-11 LPA
32,Senior Data Engineer,Software,Data Engineer,Entry,"Python,AWS Glue,Redshift,dbt,SQL",Design data warehousing solutions on AWS platform. Implement data modeling and transformation logic. Optimize query performance for analytics workloads.,Bangalore,4-6 LPA
33,ASIC Verification Engineer,Hardware,VLSI,Mid,"SystemVerilog,UVM,Python,Cadence,Coverage",Verify SoC designs for semiconductor products. Create verification plans and regression frameworks. Analyze coverage and close verification gaps.,Hyderabad,11-17 LPA
34,Backend Engineer - Go,Software,Backend,Mid,"Go,gRPC,PostgreSQL,Kubernetes,Redis",Develop high-performance microservices in Go language. Implement concurrent programming patterns. Optimize API response times and throughput.,Noida,10-16 LPA
35,Automation Engineer,Hardware,Electrical Systems,Mid,"PLC Programming,SCADA,HMI,Ladder Logic,Industrial Ethernet",Program PLCs for manufacturing automation systems. Design control panels and electrical schematics. Commission and troubleshoot automated equipment.,Chennai,7-13 LPA
36,Flutter Developer,Software,Frontend,Entry,"Flutter,Dart,Firebase,REST API,Provider",Develop cross-platform mobile apps using Flutter framework. Implement beautiful UI designs and animations. Integrate backend services and local storage.,Pune,4-6 LPA
37,Signal Processing Engineer,Hardware,Embedded Systems,Senior,"DSP,MATLAB,C,ARM,Algorithms",Implement digital signal processing algorithms on embedded platforms. Optimize real-time audio and video processing. Perform algorithm validation and benchmarking.,Bangalore,9-15 LPA
38,Python Backend Developer,Software,Backend,Senior,"Python,Flask,MongoDB,AWS,Celery",Build RESTful APIs for data-intensive applications. Implement asynchronous task processing. Deploy and monitor services on cloud infrastructure.,Hyderabad,8-14 LPA
39,Hardware Test Engineer,Hardware,PCB Design,Mid,"Oscilloscope,Multimeter,Python,LabVIEW,Test Automation",Design and execute hardware validation test plans. Develop automated test scripts and fixtures. Document test results and failure analysis.,Noida,6-11 LPA
40,Kubernetes Engineer,Software,DevOps,Mid,"Kubernetes,Helm,Docker,Linux,Networking",Manage and optimize Kubernetes clusters for production workloads. Implement service mesh and ingress controllers. Troubleshoot cluster issues and performance.,Bangalore,11-17 LPA
41,Physical Design Engineer,Hardware,VLSI,Mid,"Innovus,ICC2,Physical Verification,Static Timing,Power Analysis",Perform place and route for digital IC designs. Conduct timing closure and power optimization. Generate GDSII for tape-out process.,Chennai,10-16 LPA
42,Full Stack JavaScript Developer,Software,Full Stack,Entry,"Node.js,Vue.js,MySQL,AWS,TypeScript",Develop full-stack applications using JavaScript technologies. Implement authentication and authorization mechanisms. Ensure application security and performance.,Pune,4-6 LPA
43,ETL Developer,Software,Data Engineer,Mid,"SQL,SSIS,Python,Oracle,Data Warehousing",Design and develop ETL processes for data integration. Transform and load data from multiple sources. Monitor and troubleshoot data pipeline failures.,Hyderabad,8-14 LPA
44,Motor Control Engineer,Hardware,Electrical Systems,Entry,"FOC,BLDC,PMSM,Inverter Design,Embedded C",Design motor control algorithms for electric vehicles. Implement field-oriented control strategies. Test and calibrate motor controllers.,Bangalore,4-6 LPA
45,Senior React Developer,Software,Frontend,Senior,"React,TypeScript,Next.js,GraphQL,Tailwind CSS",Lead frontend development for enterprise applications. Implement complex UI components and state management. Optimize performance and code splitting.,Chennai,10-16 LPA
46,Microcontroller Firmware Engineer,Hardware,Firmware Engineer,Mid,"C,PIC,AVR,I2C,SPI",Develop firmware for microcontroller-based products. Interface with sensors and display modules. Implement low-power modes and power management.,Noida,7-12 LPA
47,Cloud Infrastructure Engineer,Software,DevOps,Mid,"GCP,Terraform,Python,Kubernetes,Networking",Build and maintain Google Cloud infrastructure. Implement security policies and access controls. Automate infrastructure provisioning and scaling.,Bangalore,12-18 LPA
48,Battery Management System Engineer,Hardware,Embedded Systems,Senior,"BMS,CAN Protocol,C,Lithium-ion,State Estimation",Design battery management systems for energy storage. Implement SOC and SOH estimation algorithms. Test and validate BMS functionality.,Pune,9-15 LPA
49,Django Developer,Software,Backend,Senior,"Python,Django,PostgreSQL,REST Framework,Celery",Develop web applications using Django framework. Implement ORM models and database migrations. Create RESTful APIs for frontend consumption.,Hyderabad,7-13 LPA
50,DFT Engineer,Hardware,VLSI,Mid,"Scan Insertion,ATPG,Boundary Scan,Tetramax,MBIST",Implement design-for-test structures in ASIC designs. Generate test patterns and analyze coverage. Debug scan chain failures and timing issues.,Bangalore,9-15 LPA
51,Angular Developer,Software,Frontend,Senior,"Angular,TypeScript,RxJS,NgRx,SCSS",Build enterprise applications using Angular framework. Implement reactive programming patterns. Create reusable components and services.,Chennai,7-12 LPA
52,Data Platform Engineer,Software,Data Engineer,Senior,"Python,Databricks,Delta Lake,Apache Spark,SQL",Build data lakehouse architecture for analytics. Implement data versioning and lineage tracking. Optimize cluster configurations and costs.,Bangalore,12-18 LPA
53,Mixed Signal Design Engineer,Hardware,VLSI,Senior,"Analog Design,Digital Design,Cadence,Layout,Characterization",Design mixed-signal ICs for sensor interfaces. Perform transistor-level circuit design. Collaborate with layout team for analog blocks.,Hyderabad,11-17 LPA
54,Senior Backend Developer,Software,Backend,Mid,"Java,Microservices,Cassandra,Kafka,Spring Cloud",Architect distributed systems for high-traffic applications. Design event-driven architectures. Implement circuit breakers and resilience patterns.,Noida,13-19 LPA
55,Control Systems Engineer,Hardware,Electrical Systems,Mid,"MATLAB,Simulink,PID,State Space,C++",Design control algorithms for robotic systems. Perform system identification and modeling. Simulate and validate controller performance.,Pune,9-15 LPA
56,iOS Developer,Software,Frontend,Senior,"Swift,UIKit,Core Data,REST API,Xcode",Develop native iOS applications for consumer products. Implement custom UI components and animations. Integrate with backend APIs and third-party SDKs.,Bangalore,8-14 LPA
57,Power Supply Design Engineer,Hardware,PCB Design,Mid,"SMPS,LDO,Buck-Boost,Altium,Thermal Design",Design AC-DC and DC-DC power converters. Perform power budget analysis and component selection. Validate EMI compliance and efficiency.,Chennai,8-14 LPA
58,FastAPI Developer,Software,Backend,Mid,"Python,FastAPI,PostgreSQL,Redis,Docker",Build high-performance async APIs using FastAPI. Implement authentication and rate limiting. Document APIs using OpenAPI specifications.,Hyderabad,9-15 LPA
59,Reliability Engineer,Hardware,Electrical Systems,Entry,"FMEA,Reliability Testing,Accelerated Testing,Statistics,Python",Conduct reliability analysis for hardware products. Design accelerated life testing procedures. Analyze failure data and recommend improvements.,Bangalore,6-12 LPA
60,Infrastructure Automation Engineer,Software,DevOps,Senior,"Ansible,Python,Linux,AWS,CI/CD",Automate infrastructure provisioning and configuration management. Develop Ansible playbooks and roles. Implement infrastructure testing frameworks.,Noida,10-16 LPA
61,Sensor Integration Engineer,Hardware,Embedded Systems,Entry,"IMU,GPS,Sensor Fusion,Kalman Filter,C++",Integrate sensors for navigation and positioning systems. Implement sensor fusion algorithms. Calibrate and validate sensor accuracy.,Pune,4-6 LPA
62,Full Stack Python Developer,Software,Full Stack,Senior,"Python,Django,React,PostgreSQL,AWS",Develop web platforms with Python and JavaScript. Implement user authentication and authorization. Deploy applications to cloud infrastructure.,Bangalore,10-16 LPA
63,FPGA Verification Engineer,Hardware,VLSI,Mid,"SystemVerilog,Xilinx,Vivado,Python,Assertions",Verify FPGA designs using simulation and emulation. Develop testbenches and coverage models. Debug timing and functional issues.,Chennai,9-15 LPA
64,Spring Boot Developer,Software,Backend,Mid,"Java,Spring Boot,MySQL,Hibernate,REST",Develop microservices using Spring Boot framework. Implement JPA repositories and service layers. Configure security and logging.,Hyderabad,8-14 LPA
65,Display Driver Engineer,Hardware,Firmware Engineer,Entry,"MIPI DSI,HDMI,Display Controllers,C,Embedded Linux",Develop display drivers for embedded systems. Interface with LCD and OLED panels. Debug display timing and color issues.,Bangalore,6-12 LPA
66,DataOps Engineer,Software,Data Engineer,Senior,"Python,Airflow,dbt,Snowflake,Git",Implement DataOps practices for data pipelines. Automate data quality checks and monitoring. Version control data transformations.,Noida,11-17 LPA
67,Audio Hardware Engineer,Hardware,PCB Design,Entry,"Audio Codecs,Amplifiers,DSP,Acoustic Design,Altium",Design audio processing circuits and amplifiers. Perform acoustic measurements and tuning. Optimize signal-to-noise ratio and distortion.,Pune,4-6 LPA
68,Mobile Backend Developer,Software,Backend,Senior,"Node.js,MongoDB,Socket.io,AWS,Redis",Build backend services for mobile applications. Implement real-time communication features. Design scalable database schemas.,Bangalore,9-15 LPA
69,Hardware Security Engineer,Hardware,Embedded Systems,Mid,"Cryptography,Secure Boot,TPM,ARM TrustZone,C",Implement hardware security features for embedded devices. Design secure boot and firmware update mechanisms. Conduct security testing and threat modeling.,Chennai,11-17 LPA
70,React Full Stack Developer,Software,Full Stack,Mid,"React,Node.js,Express,MongoDB,GraphQL",Develop MERN stack applications for startups. Implement real-time features using WebSockets. Optimize application performance and SEO.,Hyderabad,8-14 LPA
71,Schematic Design Engineer,Hardware,PCB Design,Entry,"OrCAD,Component Selection,Design Rules,Simulation,Documentation",Create detailed schematics for electronic products. Select components and verify design rules. Collaborate with layout and firmware teams.,Bangalore,4-6 LPA
72,Monitoring Engineer,Software,DevOps,Entry,"Prometheus,Grafana,ELK,Python,Linux",Implement comprehensive monitoring solutions. Create dashboards and alerting rules. Analyze system metrics and logs.,Noida,4-6 LPA
73,Memory Design Engineer,Hardware,VLSI,Entry,"SRAM,DRAM,Memory Compiler,Cadence,Layout",Design memory subsystems for SoC architectures. Optimize memory access timing and power. Perform memory characterization.,Pune,4-6 LPA
